2024-10-28T03:31:22.161289000Z,Outside humidity (%),65.9
2024-10-28T03:31:22.161196000Z,Inside humidity (%),70.1
2024-10-28T03:16:15.691004000Z,Outside humidity (%),66.5
2024-10-28T03:16:15.690905000Z,Inside humidity (%),70.4
2024-10-28T03:01:14.430995000Z,Outside humidity (%),64.8
2024-10-28T03:01:14.430896000Z,Inside humidity (%),70.1
2024-10-28T02:46:12.754205000Z,Outside humidity (%),66.3
2024-10-28T02:46:12.754107000Z,Inside humidity (%),70.4
2024-10-28T02:31:06.771162000Z,Outside humidity (%),64.7
2024-10-28T02:31:06.771068000Z,Inside humidity (%),70
2024-10-28T02:16:00.347674000Z,Outside humidity (%),66.3
2024-10-28T02:16:00.347572000Z,Inside humidity (%),70.2
2024-10-28T02:00:54.235517000Z,Outside humidity (%),66.3
2024-10-28T02:00:54.235417000Z,Inside humidity (%),70.1
2024-10-28T01:45:53.173804000Z,Outside humidity (%),63.5
2024-10-28T01:45:53.173706000Z,Inside humidity (%),69.8
2024-10-28T01:30:47.239055000Z,Outside humidity (%),54.6
2024-10-28T01:30:47.238956000Z,Inside humidity (%),70.2
2024-10-28T01:15:45.853374000Z,Outside humidity (%),61.3
2024-10-28T01:15:45.853281000Z,Inside humidity (%),71
2024-10-28T01:00:39.755267000Z,Outside humidity (%),57.7
2024-10-28T01:00:39.755169000Z,Inside humidity (%),71.4
2024-10-28T00:45:38.582164000Z,Outside humidity (%),61
2024-10-28T00:45:38.582065000Z,Inside humidity (%),70.6
2024-10-28T00:30:32.499841000Z,Outside humidity (%),63.9
2024-10-28T00:30:32.499741000Z,Inside humidity (%),70.8
2024-10-28T00:15:26.512406000Z,Outside humidity (%),66.2
2024-10-28T00:15:26.512308000Z,Inside humidity (%),70.9
2024-10-28T00:00:20.422499000Z,Outside humidity (%),66.6
2024-10-28T00:00:20.422401000Z,Inside humidity (%),70.6
2024-10-27T23:45:18.768881000Z,Outside humidity (%),60.5
2024-10-27T23:45:18.768782000Z,Inside humidity (%),69.5
2024-10-27T23:30:17.706087000Z,Outside humidity (%),62
2024-10-27T23:30:17.705996000Z,Inside humidity (%),71.1
2024-10-27T23:15:16.722688000Z,Outside humidity (%),63.6
2024-10-27T23:15:16.722595000Z,Inside humidity (%),70.9
2024-10-27T23:00:10.547156000Z,Outside humidity (%),57.4
2024-10-27T23:00:10.547057000Z,Inside humidity (%),69.9
2024-10-27T22:45:09.551076000Z,Outside humidity (%),63.3
2024-10-27T22:45:09.550976000Z,Inside humidity (%),71.2
2024-10-27T22:30:03.472242000Z,Outside humidity (%),59.1
2024-10-27T22:30:03.472129000Z,Inside humidity (%),70.7
2024-10-27T22:14:57.479163000Z,Outside humidity (%),64.6
2024-10-27T22:14:57.479065000Z,Inside humidity (%),71.2
2024-10-27T21:59:51.483868000Z,Outside humidity (%),58.8
2024-10-27T21:59:51.483768000Z,Inside humidity (%),70.2
2024-10-27T21:44:50.273750000Z,Outside humidity (%),59
2024-10-27T21:44:50.273652000Z,Inside humidity (%),70.4
2024-10-27T21:29:43.096876000Z,Outside humidity (%),63.2
2024-10-27T21:29:43.096776000Z,Inside humidity (%),70.8
2024-10-27T21:14:35.919906000Z,Outside humidity (%),67.3
2024-10-27T21:14:35.919815000Z,Inside humidity (%),71
2024-10-27T20:59:34.655184000Z,Outside humidity (%),60.7
2024-10-27T20:59:34.655084000Z,Inside humidity (%),70.1
2024-10-27T20:44:32.755334000Z,Outside humidity (%),67.1
2024-10-27T20:44:32.755240000Z,Inside humidity (%),71.3
2024-10-27T20:29:31.483239000Z,Outside humidity (%),67.1
2024-10-27T20:29:31.483140000Z,Inside humidity (%),71.3
2024-10-27T20:14:30.439314000Z,Outside humidity (%),59.8
2024-10-27T20:14:30.439215000Z,Inside humidity (%),70.2
2024-10-27T19:59:29.444474000Z,Outside humidity (%),62.1
